age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,v_decile_score,priors_count,sex.Female,two_year_recid,race.African.American,race.Asian,race.Caucasian,race.Hispanic,race.Native.American,c_jail_in,c_jail_out,c_offense_date,screening_date,in_custody,out_custody
34,0,3,0,0,1,0,0,1,1,0,0,0,0,0.784467342246445,0.785318913395214,0.784467342246445,0.784552499361322,0.784467342246445,0.785318913395214
44,0,1,0,0,1,0,0,0,0,0,0,0,0,0.810695733628545,0.810780890743422,0.810695733628545,0.810695733628545,0.810695733628545,0.810780890743422
39,0,1,0,0,1,0,1,0,0,0,1,0,0,0.819637230690624,0.819892702035255,0.819637230690624,0.819722387805501,0.819637230690624,0.819892702035255
27,0,4,0,0,4,0,0,0,0,0,1,0,0,0.81026994805416,0.810355105169037,0.81026994805416,0.810355105169037,0.81026994805416,0.810355105169037
37,0,1,0,0,1,0,1,0,0,0,1,0,0,0.782338414374521,0.782423571489398,0.782338414374521,0.782338414374521,0.782338414374521,0.782423571489398
37,0,1,0,0,1,0,0,0,0,0,0,1,0,0.820403644724517,0.820403644724517,0.820403644724517,0.820403644724517,0.820403644724517,0.820403644724517
31,0,5,0,0,4,6,0,1,0,0,1,0,0,0.809503534020267,0.809588691135144,0.809503534020267,0.809588691135144,0.809503534020267,0.809588691135144
31,0,3,0,0,2,5,0,1,0,0,1,0,0,0.840415566720599,0.840500723835476,0.840415566720599,0.840500723835476,0.879502682449119,0.882142553010304
24,0,4,0,0,5,1,0,1,0,0,0,1,0,0.785574384739845,0.785659541854722,0.785489227624968,0.785574384739845,0.785574384739845,0.785659541854722
43,0,1,0,0,2,1,0,0,0,0,1,0,0,0.784297028016691,0.784382185131568,0.784297028016691,0.784382185131568,0.784297028016691,0.784382185131568
32,0,3,0,0,4,0,0,0,0,0,0,0,0,0.793323682193647,0.793493996423401,0.793323682193647,0.793408839308524,0.793323682193647,0.793493996423401
27,0,3,0,0,3,8,0,1,1,0,0,0,0,0.792897896619263,0.794345567572171,0.792897896619263,0.792983053734139,0.802861279059865,0.802946436174742
26,0,7,0,1,7,5,0,1,1,0,0,0,0,0.786511113003491,0.786596270118368,0.786511113003491,0.786596270118368,0.819892702035255,0.820573958954271
33,0,10,0,0,6,0,0,1,1,0,0,0,0,0.838627267308184,0.841863237673508,0.838542110193307,0.838627267308184,0.856936047006727,0.858724346419143
30,0,9,0,0,10,9,0,1,0,0,1,0,0,0.784637656476199,0.788384569530784,0.784637656476199,0.784637656476199,0.798433109086264,0.798518266201141
49,0,3,0,0,2,7,0,1,0,0,0,0,0,0.7901728689432,0.790513497402708,0.790258026058077,0.790258026058077,0.833006897726305,0.833092054841182
24,0,2,0,0,3,1,0,1,0,0,1,0,0,0.804223792897897,0.804308950012774,0.804223792897897,0.804223792897897,0.824661500468364,0.824916971812995
34,2,9,1,3,6,21,0,1,1,0,0,0,0,0.78318998552329,0.78600017031423,0.78318998552329,0.78318998552329,0.826960742570042,0.842118709018138
29,0,2,0,0,2,0,0,0,0,0,1,0,0,0.783615771097675,0.783615771097675,0.783530613982798,0.783615771097675,0.783615771097675,0.783615771097675
51,0,2,0,0,2,7,1,0,1,0,0,0,0,0.78600017031423,0.786170484543984,0.78600017031423,0.786085327429107,0.831133441199012,0.831814698118028
29,0,7,0,0,2,0,0,1,1,0,0,0,0,0.818615345312101,0.818615345312101,0.818615345312101,0.818615345312101,0.834369411564336,0.836753810780891
49,0,1,0,0,1,0,0,0,0,0,1,0,0,0.800476879843311,0.800476879843311,0.800476879843311,0.800476879843311,0.800476879843311,0.800476879843311
29,0,4,0,0,3,0,0,0,1,0,0,0,0,0.791961168355616,0.791961168355616,0.791876011240739,0.791961168355616,0.791961168355616,0.791961168355616
28,0,2,0,0,2,0,1,0,0,0,0,0,0,0.809588691135144,0.809673848250021,0.809588691135144,0.809673848250021,0.809588691135144,0.809673848250021
24,0,4,0,0,4,2,0,1,1,0,0,0,0,0.80439410712765,0.804564421357404,0.80439410712765,0.804479264242527,0.80439410712765,0.804564421357404
30,0,7,0,0,3,0,0,0,0,0,0,1,0,0.783956399557183,0.785915013199353,0.783956399557183,0.783956399557183,0.783956399557183,0.785915013199353
49,0,1,0,0,1,4,0,0,1,0,0,0,0,0.802520650600358,0.802605807715235,0.802520650600358,0.802605807715235,0.802520650600358,0.802605807715235
63,0,7,0,0,5,10,0,1,1,0,0,0,0,0.792727582389509,0.795793238525079,0.718811206676318,0.795963552754833,0.792727582389509,0.795793238525079
38,0,2,0,0,2,4,0,1,0,0,1,0,0,0.78514859916546,0.785318913395214,0.78514859916546,0.785233756280337,0.78514859916546,0.785318913395214
22,0,10,1,2,9,2,0,1,1,0,0,0,0,0.794430724687048,0.804990206931789,0.778761815549689,0.788469726645661,0.794430724687048,0.804990206931789
62,0,1,0,0,1,0,0,0,0,0,0,1,0,0.78293451417866,0.78293451417866,0.782849357063783,0.78293451417866,0.78293451417866,0.78293451417866
33,0,1,0,0,1,0,0,0,0,0,0,0,0,0.819041130886486,0.819126288001363,0.819041130886486,0.819126288001363,0.819041130886486,0.819126288001363
56,0,1,0,0,1,0,1,0,1,0,0,0,0,0.805330835391297,0.805586306735928,0.80524567827642,0.805330835391297,0.805330835391297,0.805586306735928
45,0,1,0,0,1,6,0,1,0,0,0,1,0,0.783275142638167,0.803883164438389,0.783275142638167,0.783360299753044,0.783275142638167,0.803883164438389
22,0,4,0,0,6,1,0,0,0,0,0,1,0,0.794515881801925,0.794601038916801,0.794515881801925,0.794601038916801,0.794515881801925,0.794601038916801
