Account_status...0.DM,Account_status....200.DM,Account_status.0..........200.DM,Duration,Credit_history.all.credits.at.this.bank.paid.back.duly,Credit_history.critical.account...other.credits.existing..not.at.this.bank.,Credit_history.delay.in.paying.off.in.the.past,Credit_history.existing.credits.paid.back.duly.till.now,Purpose.business,Purpose.car..new.,Purpose.car..used.,Purpose.domestic.appliances,Purpose.education,Purpose.furniture...equipment,Purpose.others,Purpose.radio...television,Purpose.repairs,Credit_amount,Savings_bonds...100.DM,Savings_bonds....1000.DM,Savings_bonds.100...........500.DM,Savings_bonds.500..........1000.DM,Present_employment_since...1.year,Present_employment_since....7.years,Present_employment_since.1...........4.years,Present_employment_since.4...........7.years,Installment_rate,Other_debtors_guarantors.co.applicant,Other_debtors_guarantors.guarantor,Resident_since,Property.building.society.savings.agreement...life.insurance,Property.car.or.other,Property.real.estate,Age,Other_installment_plans.bank,Other_installment_plans.none,Housing.rent,Housing.own,Existing_credits,Job.management...self.employed...highly.qualified.employee...officer,Job.skilled.employee...official,Job.unemployed...unskilled....non.resident,People_maintenance_for,Telephone.none,Foreign_worker.no,has.bad.credit.risk,Gender.Female
0,0,1,48,0,0,0,1,0,0,0,0,0,0,0,1,0,5951,1,0,0,0,0,0,1,0,2,0,0,2,0,0,1,22,0,1,0,1,1,0,1,0,1,1,0,1,0
1,0,0,42,0,0,0,1,0,0,0,0,0,1,0,0,0,7882,1,0,0,0,0,0,0,1,2,0,1,4,1,0,0,45,0,1,0,0,1,0,1,0,2,1,0,0,1
0,0,0,24,0,0,0,1,0,0,0,0,0,1,0,0,0,2835,0,0,0,1,0,1,0,0,3,0,0,4,1,0,0,53,0,1,0,1,1,0,1,0,1,1,0,0,1
0,0,1,12,0,0,0,1,0,1,0,0,0,0,0,0,0,1295,1,0,0,0,1,0,0,0,3,0,0,1,0,1,0,25,0,1,1,0,1,0,1,0,1,1,0,1,0
1,0,0,48,0,0,0,1,1,0,0,0,0,0,0,0,0,4308,1,0,0,0,1,0,0,0,3,0,0,4,1,0,0,24,0,1,1,0,1,0,1,0,1,1,0,1,0
0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,1,0,1567,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,22,0,1,0,1,1,0,1,0,1,0,0,0,0
1,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,8072,0,0,0,0,1,0,0,0,2,0,0,3,0,1,0,25,1,0,0,1,3,0,1,0,1,1,0,0,1
1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,2647,0,0,0,1,0,0,1,0,2,0,0,3,0,0,1,44,0,1,1,0,1,0,1,0,2,1,0,0,1
1,0,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,2241,1,0,0,0,1,0,0,0,1,0,0,3,0,0,1,48,0,1,1,0,2,0,0,0,2,1,1,0,1
1,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1374,1,0,0,0,0,0,1,0,1,0,0,2,0,0,1,36,1,0,0,1,1,0,0,0,1,0,0,0,1
1,0,0,60,0,0,1,0,1,0,0,0,0,0,0,0,0,6836,1,0,0,0,0,1,0,0,3,0,0,4,0,0,0,63,0,1,0,1,2,0,1,0,1,0,0,1,1
0,0,1,18,0,0,0,1,1,0,0,0,0,0,0,0,0,1913,0,1,0,0,1,0,0,0,3,0,0,3,0,0,1,36,1,0,0,1,1,0,1,0,1,0,0,0,1
