age,decile1,decile3,fam_inc,lsat,ugpa,gender.female,race1.asian,race1.black,race1.hisp,race1.other,cluster.1,cluster.2,cluster.3,cluster.4,cluster.5,fulltime.1,has.passed.bar.exam
62,5,4,4,29,3.5,1,0,0,0,0,0,1,0,0,0,1,1
61,8,7,3,37,3.4,0,0,0,0,0,1,0,0,0,0,1,1
57,3,2,4,41,3.3,1,0,0,0,0,0,0,0,1,0,1,1
59,1,1,4,24.5,2.2,0,0,0,0,0,0,0,1,0,0,1,0
61,4,4,4,34,3.3,1,0,0,0,0,0,0,1,0,0,1,0
62,2,3,4,35,3.2,0,0,0,0,0,0,1,0,0,0,1,0
46,3,1,3,28,2.4,1,0,0,0,0,0,0,1,0,0,1,1
59,9,9,3,32.5,2.4,0,0,0,0,0,0,0,0,0,0,1,1
57,8,8,3,23,2.8,1,0,1,0,0,0,0,0,0,0,1,1
62,5,3,3,37,2.8,1,0,0,0,0,0,0,1,0,0,1,1
58,3,4,4,40,2.8,1,0,1,0,0,0,0,0,0,1,1,1
61,8,7,4,30,3.3,1,0,0,0,0,0,0,1,0,0,1,1
63,8,7,4,40,3.7,0,0,0,0,0,1,0,0,0,0,1,1
62,10,9,4,48,3.7,1,0,0,0,0,0,0,0,1,0,1,1
61,3,2,4,36,2.9,1,0,0,0,0,0,0,1,0,0,1,0
61,3,2,3,36,3.1,1,0,0,1,0,1,0,0,0,0,1,1
58,3,2,1,36,3.5,0,0,0,0,0,0,0,1,0,0,1,1
61,8,5,3,45,3,0,0,0,0,0,1,0,0,0,0,1,1
60,10,10,3,35,2.6,0,0,0,0,0,0,0,0,0,0,1,1
60,3,1,2,36,3.4,0,0,0,0,0,0,0,0,1,0,1,1
67,9,8,4,46,3.8,1,0,0,0,0,1,0,0,0,0,1,1
59,10,10,3,39,4,1,0,0,0,0,0,0,0,1,0,1,1
61,6,7,3,38,3,1,0,0,0,0,0,0,1,0,0,1,1
57,2,1,3,29,2.5,0,0,1,0,0,0,0,0,1,0,1,1
61,9,8,4,48,3.5,0,0,0,0,0,0,0,0,1,0,1,1
61,1,2,3,27,2.5,1,0,0,1,0,0,0,1,0,0,1,1
61,10,10,3,45,3.7,1,0,0,0,0,1,0,0,0,0,1,1
60,2,2,4,34,2.5,0,1,0,0,0,1,0,0,0,0,1,0
60,6,2,3,35,3.8,0,0,0,0,0,1,0,0,0,0,1,1
60,1,1,4,36,3.9,0,0,0,0,0,0,0,0,0,1,1,1
62,8,10,3,25,3.7,1,0,0,0,0,0,0,0,1,0,1,1
61,8,8,5,40,3.2,0,0,0,0,0,1,0,0,0,0,1,1
62,7,7,3,41,3.7,1,0,0,0,0,1,0,0,0,0,1,1
62,7,6,4,39,3.4,0,0,0,0,0,1,0,0,0,0,1,1
59,5,5,5,41,3.2,0,0,0,0,0,0,0,0,0,1,1,0
62,6,8,4,34,3.2,1,0,0,0,0,0,0,1,0,0,1,1
62,5,5,3,37,3,0,0,0,0,0,0,0,1,0,0,1,1
62,9,8,3,42,3,0,0,0,0,0,0,0,1,0,0,1,1
48,10,10,2,40,3.5,0,0,0,0,0,0,0,1,0,0,0,1
60,8,9,2,29,2.8,1,0,1,0,0,0,0,0,0,0,1,1
42,9,9,4,36,2.9,0,0,0,0,0,0,0,1,0,0,1,1
58,7,5,5,35,3.1,1,0,0,0,0,1,0,0,0,0,1,1
62,6,5,4,36,3.7,1,0,0,0,0,0,1,0,0,0,1,1
60,2,3,4,34.5,3.3,1,0,0,0,0,0,0,0,0,1,1,1
62,2,2,4,32,3,1,0,0,0,0,0,1,0,0,0,1,1
61,9,9,4,35,3.3,0,0,0,0,0,0,1,0,0,0,1,1
61,10,8,2,34,2.9,1,0,0,0,0,1,0,0,0,0,1,1
61,4,2,4,40,3.5,0,0,0,0,0,0,0,0,1,0,1,1
63,4,5,2,34,2.9,1,0,1,0,0,0,0,0,0,0,1,1
62,2,1,4,38,3.2,1,0,0,0,0,1,0,0,0,0,1,1
56,2,2,3,42,3.4,0,0,0,0,0,1,0,0,0,0,1,1
61,3,3,3,37,3.2,1,0,0,0,0,1,0,0,0,0,1,1
60,5,7,3,41,3.8,0,0,0,0,0,0,0,0,0,1,1,1
66,9,8,3,32,3.1,1,0,0,0,0,0,0,1,0,0,1,1
48,2,1,4,29,2.8,1,0,0,0,0,0,0,1,0,0,1,0
58,7,9,4,40,3.4,0,0,0,0,0,1,0,0,0,0,1,1
